Transaction_ID,Cashier_ID,Date_Time,Store_Location,Product,Brand,Quantity,Price_Per_Unit,Total_Price,Payment_Method,Membership_ID
58,CASH_552,2024-07-23 15:33:41,Linz,Eingelegte Melanzani,Brand D,8,5.23,41.84,Debit Card,M_2713
59,CASH_510,2024-09-27 15:18:42,Eisenstadt,Eingelegte Melanzani,Brand D,2,3.91,7.82,Debit Card,M_1018
60,CASH_470,2024-08-22 01:12:33,St. Pölten,Eingelegte Gurken,Brand D,1,5.94,5.94,Mobile Payment,M_8941
61,CASH_418,2024-09-16 07:45:10,Eisenstadt,Eingelegte Melanzani,Brand D,2,8.57,17.14,Credit Card,M_2924
62,CASH_525,2024-08-07 16:45:17,Bregenz,Eingelegte Gurken,Brand B,8,4.45,35.6,Cash,M_5526
63,CASH_102,2024-08-13 16:17:52,Linz,Eingelegte Oliven,Brand C,10,6.94,69.4,Cash,M_8935
64,CASH_429,2024-09-08 12:29:59,Innsbruck,Eingelegte Oliven,Brand B,10,8.7,87.0,Debit Card,
65,CASH_940,,Graz,Eingelegte Gurken,Brand A,3,6.31,18.93,Credit Card,M_8213
66,CASH_991,2024-07-02 23:09:26,Graz,Eingelegte Melanzani,Brand D,5,7.23,36.15,Credit Card,M_9742
67,CASH_170,2024-09-01 17:02:39,Innsbruck,Eingelegte Oliven,Brand C,4,4.91,19.64,Credit Card,M_2646
68,CASH_157,,Linz,Eingelegte Gurken,Brand C,7,5.78,40.46,Cash,
69,CASH_697,2024-09-18 21:15:31,Graz,Eingelegte Melanzani,Brand D,5,7.0,35.0,Debit Card,M_9955
70,CASH_534,2024-08-14 18:19:40,Linz,Eingelegte Gurken,Brand C,4,8.68,34.72,Credit Card,
71,CASH_774,2024-09-28 09:01:53,Villach,Eingelegte Gurken,Brand A,10,8.0,80.0,Credit Card,M_9138
72,CASH_324,,Innsbruck,Eingelegte Oliven,Brand C,3,9.13,27.39,Credit Card,M_8222
73,CASH_434,2024-07-17 02:58:18,Villach,Eingelegte Melanzani,Brand B,3,8.89,26.67,Mobile Payment,M_5465
74,CASH_446,,Salzburg,Eingelegte Gurken,Brand A,3,3.03,9.09,Debit Card,M_6992
75,CASH_477,2024-08-03 17:07:29,Linz,Eingelegte Oliven,Brand D,6,3.1,18.6,Credit Card,M_6374
76,CASH_817,,Linz,Eingelegte Oliven,Brand D,2,9.52,19.04,Mobile Payment,M_2902
77,CASH_786,,Eisenstadt,Eingelegte Gurken,Brand B,7,8.5,59.5,Debit Card,M_5583
78,CASH_471,2024-08-26 14:15:54,Salzburg,Eingelegte Oliven,Brand C,9,6.8,61.2,Credit Card,M_4109
79,CASH_757,2024-08-28 02:42:13,St. Pölten,Eingelegte Melanzani,Brand A,6,2.13,12.78,Cash,
80,CASH_251,2024-07-28 07:21:49,St. Pölten,Eingelegte Melanzani,Brand C,3,5.86,17.58,Cash,
81,CASH_116,2024-08-15 07:37:20,Graz,Eingelegte Gurken,Brand A,3,5.73,17.19,Credit Card,M_6931
82,CASH_844,2024-09-03 07:39:02,Eisenstadt,Eingelegte Gurken,Brand D,1,,,Debit Card,M_7984
83,CASH_429,2024-08-26 02:57:05,St. Pölten,Eingelegte Melanzani,Brand A,3,6.7,20.1,Mobile Payment,M_9692
84,CASH_217,2024-08-25 03:50:44,Eisenstadt,Eingelegte Oliven,Brand B,7,3.06,21.42,Mobile Payment,M_7532
85,CASH_483,,Graz,Eingelegte Oliven,Brand D,2,,,Credit Card,
86,CASH_675,2024-07-17 17:03:37,Eisenstadt,Eingelegte Gurken,Brand A,7,6.99,48.93,Debit Card,M_1842
87,CASH_317,2024-08-15 03:36:32,Graz,Eingelegte Oliven,Brand D,4,4.15,16.6,Mobile Payment,
88,CASH_736,2024-08-24 17:49:52,St. Pölten,Eingelegte Oliven,Brand A,10,8.47,84.7,Mobile Payment,
89,CASH_990,2024-08-13 11:00:11,Graz,Eingelegte Oliven,Brand D,2,6.7,13.4,Credit Card,
90,CASH_419,2024-08-28 10:10:23,Klagenfurt,Eingelegte Oliven,Brand A,1,7.79,7.79,Credit Card,M_5458
91,CASH_320,,Eisenstadt,Eingelegte Melanzani,Brand C,7,7.1,49.7,Debit Card,M_6053
92,CASH_408,2024-09-15 01:00:13,Innsbruck,Eingelegte Melanzani,Brand C,5,1.07,5.35,Debit Card,
93,CASH_925,2024-09-03 17:53:42,Klagenfurt,Eingelegte Melanzani,Brand D,1,5.14,5.14,Credit Card,M_8033
94,CASH_121,2024-08-23 09:07:25,Klagenfurt,Eingelegte Melanzani,Brand D,6,,,Credit Card,
95,CASH_326,2024-08-20 09:47:21,Klagenfurt,Eingelegte Melanzani,Brand A,9,5.78,52.02,Cash,M_6724
96,CASH_249,2024-09-21 04:15:06,Linz,Eingelegte Melanzani,Brand B,10,7.83,78.3,Credit Card,
97,CASH_678,2024-09-11 18:28:43,St. Pölten,Eingelegte Gurken,Brand C,3,5.22,15.66,Mobile Payment,M_1920
98,CASH_477,2024-08-29 14:02:03,Linz,Eingelegte Melanzani,Brand A,10,4.46,44.6,Credit Card,M_4084
99,CASH_930,2024-07-20 01:28:06,Klagenfurt,Eingelegte Oliven,Brand A,9,1.35,12.15,Debit Card,M_9586
100,CASH_893,2024-08-17 09:24:26,Klagenfurt,Eingelegte Oliven,Brand A,6,,,Credit Card,M_7333
101,CASH_441,2024-09-23 19:55:09,Salzburg,Eingelegte Oliven,Brand B,6,6.9,41.4,Debit Card,
102,CASH_436,2024-09-10 12:41:50,Graz,Eingelegte Oliven,Brand A,7,1.16,8.12,Mobile Payment,
103,CASH_258,2024-09-01 06:14:08,Salzburg,Eingelegte Gurken,Brand A,9,8.52,76.68,Credit Card,M_3147
104,CASH_928,2024-07-24 22:49:39,Graz,Eingelegte Oliven,Brand D,1,7.09,7.09,Cash,M_5668
105,CASH_928,2024-07-30 17:15:19,Bregenz,Eingelegte Melanzani,Brand C,10,5.16,51.6,Mobile Payment,M_9239
106,CASH_356,2024-07-26 19:08:55,Wien,Eingelegte Oliven,Brand D,6,1.92,11.52,Credit Card,
107,CASH_193,2024-09-04 04:53:27,Innsbruck,Eingelegte Gurken,Brand C,1,4.57,4.57,Mobile Payment,
108,,2024-07-04 10:59:06,Klagenfurt,Eingelegte Melanzani,Brand B,1,8.47,8.47,Cash,M_8685
109,CASH_955,2024-07-11 00:16:13,Graz,Eingelegte Oliven,Brand D,2,3.14,6.28,Credit Card,
110,CASH_611,2024-08-28 02:07:53,St. Pölten,Eingelegte Oliven,Brand A,9,7.47,67.23,Mobile Payment,M_6780
111,CASH_469,2024-09-24 21:05:33,Salzburg,Eingelegte Oliven,Brand A,7,1.39,9.73,Debit Card,M_5155
112,CASH_772,2024-07-09 11:15:46,Salzburg,Eingelegte Oliven,Brand C,3,,,Mobile Payment,M_3868
113,CASH_930,2024-09-28 15:40:11,Graz,Eingelegte Melanzani,Brand D,1,1.39,1.39,Cash,M_6170
114,CASH_871,2024-09-08 15:16:02,Innsbruck,Eingelegte Gurken,Brand C,1,3.99,3.99,Credit Card,M_8159
115,CASH_808,2024-08-19 10:11:31,Bregenz,Eingelegte Gurken,Brand C,2,1.71,3.42,Cash,M_6262
116,CASH_834,2024-08-07 09:28:38,Villach,Eingelegte Melanzani,Brand D,6,7.54,45.24,Mobile Payment,M_8126
117,CASH_515,,Klagenfurt,Eingelegte Oliven,Brand B,1,6.47,6.47,Debit Card,
118,CASH_133,2024-08-16 11:24:36,St. Pölten,Eingelegte Melanzani,Brand D,6,7.87,47.22,Cash,M_7521
119,CASH_611,2024-07-15 00:47:11,Eisenstadt,Eingelegte Gurken,Brand A,5,7.34,36.7,Cash,M_5678
120,CASH_175,2024-07-26 03:08:54,Bregenz,Eingelegte Melanzani,Brand D,2,9.71,19.42,Mobile Payment,M_2063
121,CASH_817,2024-08-08 05:45:45,Graz,Eingelegte Gurken,Brand B,2,8.13,16.26,Cash,M_1430
122,CASH_188,2024-08-29 17:08:39,Salzburg,Eingelegte Gurken,Brand D,8,7.92,63.36,Credit Card,
123,CASH_231,2024-08-29 21:33:22,Eisenstadt,Eingelegte Oliven,Brand B,3,9.2,27.6,Credit Card,M_9488
124,CASH_631,,Linz,Eingelegte Melanzani,Brand C,4,5.96,23.84,Cash,M_9740
125,CASH_774,2024-09-14 18:09:10,St. Pölten,Eingelegte Oliven,Brand C,10,,,Credit Card,
126,CASH_685,2024-08-03 20:13:49,Villach,Eingelegte Oliven,Brand A,8,5.91,47.28,Mobile Payment,M_7653
127,CASH_595,2024-07-08 05:28:26,Bregenz,Eingelegte Melanzani,Brand C,10,8.75,87.5,Mobile Payment,M_6658
128,CASH_426,2024-08-17 16:35:06,Innsbruck,Eingelegte Gurken,Brand A,5,2.27,11.35,Credit Card,
129,CASH_691,2024-08-01 05:52:20,Klagenfurt,Eingelegte Melanzani,Brand B,8,5.2,41.6,Mobile Payment,M_2475
130,CASH_149,,Wien,Eingelegte Gurken,Brand D,10,6.89,68.9,Debit Card,
131,CASH_882,,Villach,Eingelegte Gurken,Brand A,7,,,Cash,M_5728
132,CASH_796,2024-09-09 08:52:39,St. Pölten,Eingelegte Melanzani,Brand B,2,8.15,16.3,Mobile Payment,M_6990
133,CASH_146,2024-09-04 12:32:02,Wien,Eingelegte Melanzani,Brand C,8,2.34,18.72,Cash,M_6218
134,CASH_948,2024-08-08 18:21:32,Eisenstadt,Eingelegte Oliven,Brand D,10,8.34,83.4,Mobile Payment,M_2795
135,,2024-09-27 20:01:38,Linz,Eingelegte Oliven,Brand B,1,2.53,2.53,Debit Card,
136,CASH_551,2024-09-28 03:12:01,Klagenfurt,Eingelegte Gurken,Brand B,7,4.69,32.83,Debit Card,M_2020
137,CASH_638,2024-09-10 10:42:30,Villach,Eingelegte Gurken,Brand B,8,4.08,32.64,Mobile Payment,M_5331
138,CASH_330,2024-08-01 08:35:19,Linz,Eingelegte Gurken,Brand B,8,4.14,33.12,Mobile Payment,
139,CASH_249,2024-08-20 11:49:51,Linz,Eingelegte Melanzani,Brand C,2,4.98,9.96,Mobile Payment,M_4505
140,CASH_211,2024-09-10 22:17:08,St. Pölten,Eingelegte Oliven,Brand B,4,,,Cash,M_1860
141,CASH_240,2024-08-30 03:43:49,Wien,Eingelegte Oliven,Brand B,7,8.93,62.51,Debit Card,M_4267
142,CASH_887,2024-08-06 20:03:58,Salzburg,Eingelegte Oliven,Brand B,9,8.65,77.85,Credit Card,M_3868
143,CASH_290,2024-07-05 12:50:31,Linz,Eingelegte Melanzani,Brand A,5,1.97,9.85,Mobile Payment,
144,CASH_579,2024-09-02 04:54:32,Linz,Eingelegte Melanzani,Brand A,6,5.13,30.78,Mobile Payment,M_1230
145,CASH_279,2024-09-11 21:48:12,St. Pölten,Eingelegte Oliven,Brand D,7,1.78,12.46,Credit Card,
146,CASH_341,,Bregenz,Eingelegte Gurken,Brand C,5,6.16,30.8,Mobile Payment,M_4871
147,CASH_614,2024-08-09 05:25:43,Linz,Eingelegte Oliven,Brand A,5,2.99,14.95,Cash,M_8454
148,CASH_582,2024-08-23 22:35:58,Eisenstadt,Eingelegte Oliven,Brand B,4,6.36,25.44,Credit Card,M_9653
149,CASH_660,,Eisenstadt,Eingelegte Melanzani,Brand B,3,5.68,17.04,Credit Card,M_9008
150,CASH_525,2024-07-08 14:08:32,Bregenz,Eingelegte Oliven,Brand A,9,8.26,74.34,Credit Card,M_1049
151,CASH_165,2024-07-06 13:22:44,Eisenstadt,Eingelegte Melanzani,Brand A,8,,,Debit Card,
152,CASH_491,2024-09-21 13:23:57,Bregenz,Eingelegte Gurken,Brand D,2,6.96,13.92,Cash,M_6697
153,CASH_328,2024-08-20 16:08:46,Wien,Eingelegte Melanzani,Brand C,8,5.9,47.2,Debit Card,M_5055
154,,2024-07-25 23:48:07,Villach,Eingelegte Oliven,Brand A,4,1.91,7.64,Credit Card,M_1797
155,CASH_872,2024-08-26 07:34:13,Wien,Eingelegte Melanzani,Brand C,4,7.58,30.32,Mobile Payment,M_6253
156,CASH_407,2024-09-23 16:14:26,Linz,Eingelegte Melanzani,Brand B,7,1.42,9.94,Mobile Payment,M_7244
157,CASH_485,2024-08-23 13:09:19,Graz,Eingelegte Oliven,Brand D,4,3.71,14.84,Cash,M_1944
158,CASH_348,,Linz,Eingelegte Melanzani,Brand C,2,8.62,17.24,Credit Card,M_4120
159,CASH_174,2024-09-16 19:02:55,Innsbruck,Eingelegte Oliven,Brand B,8,9.16,73.28,Mobile Payment,M_1251
160,CASH_348,2024-07-16 23:48:30,St. Pölten,Eingelegte Oliven,Brand B,7,5.97,41.79,Mobile Payment,M_9743
161,CASH_577,2024-08-16 16:56:31,Salzburg,Eingelegte Oliven,Brand D,6,4.34,26.04,Debit Card,
162,CASH_698,2024-07-03 08:35:59,St. Pölten,Eingelegte Oliven,Brand D,5,3.97,19.85,Debit Card,M_5026
163,CASH_941,2024-09-26 10:16:48,Bregenz,Eingelegte Oliven,Brand D,8,8.15,65.2,Cash,
164,CASH_134,2024-09-08 20:03:33,Salzburg,Eingelegte Oliven,Brand A,1,8.58,8.58,Cash,
165,CASH_753,2024-08-28 11:03:39,St. Pölten,Eingelegte Gurken,Brand D,1,,,Debit Card,
166,CASH_814,2024-08-06 00:32:52,Villach,Eingelegte Melanzani,Brand A,2,3.17,6.34,Mobile Payment,M_5379
167,,,Innsbruck,Eingelegte Gurken,Brand A,1,,,Debit Card,M_8798
168,CASH_544,2024-07-22 02:31:54,Klagenfurt,Eingelegte Oliven,Brand A,9,3.07,27.63,Debit Card,
169,CASH_133,2024-08-05 17:36:42,Graz,Eingelegte Gurken,Brand A,4,7.77,31.08,Debit Card,M_5903
170,CASH_439,2024-08-19 21:57:34,Villach,Eingelegte Oliven,Brand B,2,9.77,19.54,Credit Card,
171,CASH_892,,Klagenfurt,Eingelegte Melanzani,Brand C,8,4.2,33.6,Debit Card,M_7227
172,CASH_374,2024-08-01 22:04:05,Graz,Eingelegte Gurken,Brand B,7,1.96,13.72,Credit Card,M_8286
173,,2024-07-17 02:11:27,Eisenstadt,Eingelegte Oliven,Brand D,2,,,Mobile Payment,M_6315
174,CASH_842,2024-08-22 12:49:05,Eisenstadt,Eingelegte Melanzani,Brand B,7,3.42,23.94,Mobile Payment,M_2036
175,CASH_469,2024-08-08 15:50:04,Linz,Eingelegte Melanzani,Brand D,10,5.12,51.2,Cash,M_7483
176,CASH_935,2024-08-12 14:21:27,St. Pölten,Eingelegte Melanzani,Brand C,6,7.26,43.56,Debit Card,M_7524
177,CASH_900,2024-09-27 20:31:36,Innsbruck,Eingelegte Gurken,Brand D,5,4.54,22.7,Credit Card,M_4273
178,CASH_572,2024-09-26 17:01:46,Innsbruck,Eingelegte Gurken,Brand C,2,8.16,16.32,Debit Card,M_3280
179,CASH_908,2024-09-23 04:45:27,Villach,Eingelegte Melanzani,Brand D,10,4.61,46.1,Debit Card,M_6890
180,CASH_211,2024-09-15 20:58:05,Innsbruck,Eingelegte Oliven,Brand C,3,1.4,4.2,Debit Card,M_6432
181,CASH_622,2024-07-02 03:16:14,Eisenstadt,Eingelegte Oliven,Brand B,8,5.17,41.36,Cash,M_1402
182,CASH_245,2024-07-11 03:53:46,Klagenfurt,Eingelegte Gurken,Brand C,8,5.69,45.52,Mobile Payment,M_8178
183,CASH_827,2024-07-09 09:02:51,Salzburg,Eingelegte Melanzani,Brand C,2,2.48,4.96,Cash,M_3623
184,CASH_744,2024-08-29 07:51:25,Graz,Eingelegte Melanzani,Brand D,7,,,Cash,M_8037
185,CASH_928,2024-07-27 08:48:45,Salzburg,Eingelegte Oliven,Brand A,9,3.93,35.37,Debit Card,
186,CASH_725,2024-09-20 10:38:24,Villach,Eingelegte Oliven,Brand A,6,5.12,30.72,Cash,M_5873
187,CASH_344,2024-09-25 04:20:07,Linz,Eingelegte Melanzani,Brand B,6,5.6,33.6,Debit Card,M_7286
188,CASH_277,2024-09-07 22:58:41,Eisenstadt,Eingelegte Melanzani,Brand D,5,3.83,19.15,Debit Card,M_6882
189,CASH_768,,Bregenz,Eingelegte Gurken,Brand D,7,4.99,34.93,Cash,
190,CASH_650,2024-08-07 01:17:14,Linz,Eingelegte Melanzani,Brand D,10,7.89,78.9,Credit Card,M_5389
191,CASH_142,2024-08-16 17:52:48,Bregenz,Eingelegte Oliven,Brand B,7,8.47,59.29,Cash,
192,CASH_220,2024-08-14 02:28:55,Innsbruck,Eingelegte Melanzani,Brand C,10,2.49,24.9,Cash,M_4390
193,CASH_272,2024-09-07 08:38:34,Klagenfurt,Eingelegte Oliven,Brand C,5,9.57,47.85,Credit Card,
194,CASH_229,2024-07-08 08:55:41,Graz,Eingelegte Melanzani,Brand B,6,7.85,47.1,Debit Card,M_5402
195,CASH_887,2024-07-10 20:50:56,Salzburg,Eingelegte Gurken,Brand C,6,5.39,32.34,Credit Card,M_2526
196,CASH_164,2024-09-24 22:22:54,Eisenstadt,Eingelegte Gurken,Brand B,7,5.45,38.15,Mobile Payment,M_6533
197,CASH_880,2024-09-01 10:57:43,Wien,Eingelegte Melanzani,Brand A,8,,,Cash,M_1011
198,CASH_409,2024-09-27 04:56:41,Graz,Eingelegte Gurken,Brand A,6,4.35,26.1,Cash,
199,CASH_820,,Salzburg,Eingelegte Melanzani,Brand B,8,,,Cash,M_8291
200,CASH_589,2024-07-16 13:44:08,Salzburg,Eingelegte Melanzani,Brand D,2,1.92,3.84,Mobile Payment,M_5902
201,CASH_170,2024-07-18 20:43:09,Eisenstadt,Eingelegte Oliven,Brand A,10,4.96,49.6,Cash,M_3480
202,CASH_202,2024-08-26 06:05:57,Graz,Eingelegte Melanzani,Brand D,6,3.83,22.98,Cash,
203,CASH_391,,Wien,Eingelegte Oliven,Brand C,4,5.59,22.36,Debit Card,
204,CASH_346,2024-07-31 15:24:07,Bregenz,Eingelegte Oliven,Brand A,9,1.11,9.99,Mobile Payment,M_3162
205,CASH_276,2024-08-23 11:34:43,Bregenz,Eingelegte Melanzani,Brand A,10,,,Mobile Payment,
206,CASH_829,2024-08-20 16:18:40,Eisenstadt,Eingelegte Gurken,Brand D,7,,,Cash,
207,CASH_500,,St. Pölten,Eingelegte Oliven,Brand A,5,7.57,37.85,Cash,
208,CASH_416,2024-08-28 19:38:03,Graz,Eingelegte Melanzani,Brand A,3,2.47,7.41,Mobile Payment,M_5247
209,CASH_889,2024-08-04 23:56:07,Wien,Eingelegte Gurken,Brand D,5,3.37,16.85,Credit Card,M_9368
210,CASH_361,2024-09-11 05:23:10,Salzburg,Eingelegte Oliven,Brand A,4,1.02,4.08,Credit Card,
211,CASH_136,,Eisenstadt,Eingelegte Oliven,Brand D,4,4.75,19.0,Mobile Payment,
212,CASH_283,2024-09-03 21:57:03,Innsbruck,Eingelegte Oliven,Brand A,7,,,Debit Card,M_6090
213,CASH_677,2024-07-02 11:12:18,Linz,Eingelegte Oliven,Brand B,8,9.75,78.0,Cash,M_9954
214,CASH_654,2024-07-01 13:01:14,Klagenfurt,Eingelegte Oliven,Brand A,6,,,Debit Card,M_6038
215,CASH_245,2024-07-31 13:31:03,Linz,Eingelegte Melanzani,Brand A,4,5.68,22.72,Mobile Payment,M_2391
216,CASH_681,2024-09-20 12:04:37,Wien,Eingelegte Gurken,Brand B,4,8.66,34.64,Debit Card,M_6345
217,CASH_888,2024-07-10 06:08:49,St. Pölten,Eingelegte Melanzani,Brand B,2,5.19,10.38,Debit Card,
218,CASH_972,2024-08-27 09:29:16,Salzburg,Eingelegte Melanzani,Brand B,5,7.27,36.35,Credit Card,
219,CASH_150,2024-08-01 11:25:32,Linz,Eingelegte Gurken,Brand B,1,8.69,8.69,Cash,
220,CASH_899,2024-07-16 00:03:53,Innsbruck,Eingelegte Melanzani,Brand B,7,6.67,46.69,Credit Card,M_5240
221,CASH_554,2024-07-09 06:57:41,Graz,Eingelegte Melanzani,Brand C,2,,,Debit Card,
222,CASH_799,2024-08-20 15:01:24,Villach,Eingelegte Melanzani,Brand C,4,3.47,13.88,Debit Card,M_1567
223,CASH_663,2024-09-21 09:31:26,Bregenz,Eingelegte Melanzani,Brand A,5,4.77,23.85,Cash,M_9907
224,CASH_596,2024-08-15 15:34:50,Klagenfurt,Eingelegte Oliven,Brand C,7,1.23,8.61,Cash,
225,CASH_698,2024-08-30 16:22:49,Innsbruck,Eingelegte Melanzani,Brand A,4,3.4,13.6,Credit Card,M_4594
226,CASH_965,2024-08-19 11:59:53,Graz,Eingelegte Melanzani,Brand B,10,7.64,76.4,Mobile Payment,M_1462
227,,2024-09-11 18:09:36,Bregenz,Eingelegte Oliven,Brand C,3,1.81,5.43,Cash,M_1326
